Moves
""
e4 Nf6 Qf3 d6 d4 e6 Bc4 d5 exd5 exd5 Bb3 c6 c4 Be6 Nc3 Bb4 Ne2 Ne4 O-O Nxc3 bxc3 Ba5 Ba3 Nd7 Nf4 Bxc3
""
d4 Nc6 c4 d5 Nf3 Nf6 Bf4 Bf5 Nc3 Nb4 Rc1 dxc4 e3 b5 a3 Nbd5 Nxb5 c6 Nc3 Qa5 Qd2 e6 Bxc4 c5 Nxd5 Qxd2+ Nxd2 Nxd5 Bb5+ Kd8 e4 Rb8 a4 Nxf4 exf5 Nxg2+ Kf1 Nf4 fxe6 Nxe6 dxc5 Bxc5 Ne4 Bb6 Kg2 Ke7 Rhd1 Nd4 Bc4 Rhd8 Nc3 a5 Nd5+ Kf8 Nxb6 Rxb6 Bb5 Ne6 Rxd8+ Nxd8 Rc8 Rd6 b3 g5 f3 h5 h3 h4 Kh2 g4 fxg4 f6
""
e4 e5 Nf3
""
d4 d5 c4 Nf6 Nc3 e6 Bg5 h6 Bh4 g5 Bg3 Bb4 Qc2 Nc6 e3 Ne4 Bd3 Bxc3+ bxc3 f5 f3 dxc4 Bxc4 Nd6 Bxd6 Qxd6 Ne2 Bd7 O-O O-O-O Rab1 h5 Qb3 b6 Ba6+ Kb8 a4 Na5 Qb4 Qxb4 cxb4 Nc6 b5 Na5 Nc3 h4 Rfd1 h3 g3 g4 f4 Bc8 d5 Bxa6 bxa6 exd5 Rxd5 Rxd5 Nxd5 c6 Ne7 Rf8 Kf2 Kc7 Rc1 c5 Nd5+ Kd6 Nc3 c4 Nb5+ Kc5 Nxa7 Kb4 Rb1+ Kxa4 Rxb6 Ra8 Nc6 c3 Nxa5 Kxa5 Rc6 Kb4 Ke2 Kb3 Kd3 Rd8+ Ke2 c2 a7 Kb2 Rb6+ Ka3 Rc6 Kb2 Rb6+ Kc3 Rc6+ Kb2 Rb6+ Kc1 Rb7 Rd2+ Ke1 Rd1+ Ke2 Rg1 a8=Q Rg2+ Kd3 Kd1 Ra7
""
e4 Nf6 d3 d6 Qf3 Bg4 Be2 Bxf3 Nxf3 e5 O-O Be7 c3 Nc6 b4 a6 a4 O-O a5 h6 Nh4 Nxe4 Nf5 Nf6 f4 g6 Nxh6+ Kh7 fxe5 dxe5 h3 Kg7 Bg5 Rh8 Ng4 Nxg4 Bxe7 Nxe7 Bxg4 f5 Be2 g5 Nd2 Ng6 Nf3 f4 Rad1 b6 Nh2 Qd7 Ng4 Raf8 Bf3 Nh4 Nxe5 Nxf3+ Rxf3 Qe6 Ng4 bxa5 bxa5 Qb3 c4 c5 Re1 Re8 Ref1 Qc2 Ne5 Rxe5 d4 Re2 h4 Rxg2+ Kh1 Rh2+ Kg1 Qg2#
""
