White,Black,Result,Moves
saubhagya,MarioDeMonti,0-1,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 Bg4 6. Be2 Nc6 7. O-O O-O 8. h3 Bd7 9. e5 Ne8 10. Be3 e6 11. d5 exd5 12. Qxd5 Be6 13. Qb5 dxe5 14. Rad1 Qc8 15. Nxe5 Nxe5 16. fxe5 c6 17. Qc5 b6 18. Qa3 Bxe5 19. Bh6 Bg7 20. Bxg7 Nxg7 21. Ne4 c5 22. Nf6+ Kh8 23. Qg3 Nf5 24. Qg5 h6 25. Qc1 Kg7 26. Ng4 h5 27. Rxf5 hxg4 28. Rf4 gxh3 29. c4 h2+ 30. Kxh2 Qc7 31. g3 Rh8+ 32. Kg2 Bh3+ 33. Kf2 Bf5 34. Qc3+ f6 35. Bf3 Rae8 36. Bg2 Qe5 37. Qd2 Rd8 38. Qc1 Rxd1 39. Qxd1 Qxb2+ 40. Kg1 Qe5 41. Rf2 Qxg3 42. Rf3 Qh2+ 43. Kf2 Qe5 44. Qa4 Rd8 45. Qxa7+ Rd7 46. Qxb6 Rd2+ 47. Kg1 Qe1+ 48. Rf1 Qe3+ 49. Kh2 Rxg2+ 50. Kxg2 Be4+ 51. Kh2 Qe2+ 52. Kg3 Qxf1 53. Qc7+ Kh6 54. Qf4+ Qxf4+ 55. Kxf4 Bd3 56. Kg4 Bxc4
saubhagya,kolbe_vahshat,0-1,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6 6. Nf3 Bg7 7. h3 O-O 8. Bd3 dxc4 9. Bxc4 Nc6 10. O-O Bf5 11. Be3 Ne4 12. Nh4 Nxd4 13. Bxd4 Qxd4 14. Nxf5 gxf5 15. Qxd4 Bxd4 16. Nxe4 fxe4 17. Rab1 Rfd8 18. Rfe1 Rac8 19. b3 b5 20. Bxb5 Rc2 21. Rxe4 Bxf2+ 22. Kh2 e6 23. a4 h5 24. Rf1 h4 25. Rg4+ Kf8 26. Kh1 Bg3 27. Re4 Ke7 28. Re2 Rxe2 29. Bxe2 f5 30. Bc4 Kf6 31. a5 e5 32. a6 e4 33. b4 Rd4 34. b5 Rxc4 35. b6 axb6 36. Ra1 Rc8 37. a7 Ra8 38. Kg1 Be5 39. Ra6 Kg5 40. Kf1 Bd4 41. Ke2 b5 42. Ra5 Rxa7 43. Rxb5 Ra2+ 44. Kf1 Kf4 45. Rb1 Kg3 46. Rb3+ e3 47. Rd3 Rd2 48. Rb3 Rxg2 49. Rd3 Rd2 50. Ra3 Kf3 51. Ke1 Rh2 52. Kd1 Rh1+ 53. Kc2 Rh2+ 54. Kd3 Rd2+ 55. Kc4 Kf2 56. Ra1 e2 57. Rh1 e1=Q 58. Rh2+ Kf1 59. Rh1+ Ke2 60. Rh2+ Bf2
Bennerbeatbox,saubhagya,1-0,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nc6 5. c4 g6 6. Nc3 Bg7 7. Be3 Nf6 8. Be2 e5 9. Ndb5 O-O 10. Qxd6 Qxd6 11. Nxd6 Rd8 12. Nxc8 Raxc8 13. O-O a6 14. Rfd1 Nb4 15. Bg5 h6 16. Bxf6 Bxf6 17. Rac1 Rxd1+ 18. Rxd1 Nc2 19. Nd5 Bd8 20. b3 Nd4 21. Bf1 b5 22. f3 bxc4 23. Bxc4 Kg7 24. Kf2 a5 25. g3 a4 26. f4 f6 27. Rb1 axb3 28. axb3 Nxb3 29. Bxb3
saubhagya,HassanFallahi,1-0,1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. exd5 exd5 6. Nc3 Nf6 7. Bb5+ Bd7 8. Bxd7+ Qxd7 9. Nge2 Nc6 10. O-O Bd6 11. Bg5 O-O 12. Bxf6 gxf6 13. Ng3 Ne7 14. Qh5 Rad8 15. Rae1 Ng6 16. Nxd5 Be7 17. Nxe7+ Nxe7 18. Rxe7
saubhagya,Bassel48,1-0,1. d4 d6 2. c4 Nd7 3. Nc3 g6 4. e4 Bg7 5. f4 Ngf6 6. e5 dxe5 7. fxe5 Ng8 8. Nf3 e6 9. Bg5 Ne7 10. d5 exd5 11. Nxd5 f6 12. exf6 Nxf6 13. Nxf6+ Bxf6 14. Qxd8+ Kxd8 15. Bxf6 Rf8 16. Bxe7+ Kxe7 17. Be2 Bf5 18. O-O c6 19. Rae1 Kd7 20. Nd4 Be4 21. Bg4+ Kc7 22. Rxe4 Rxf1+ 23. Kxf1
player_042,saubhagya,0-1,1. d4 d5 2. Bf4 c6 3. Nf3 Bf5 4. Nbd2 Nf6 5. e3 e6 6. c3 Bd6 7. Ne5 Bxe5 8. dxe5 Nfd7 9. Nf3 h5 10. Bd3 Bg4 11. h3 Bxf3 12. Qxf3 Qc7 13. g4 hxg4 14. Qxg4 Rg8 15. Rg1 Nc5 16. Bh7 Rf8 17. Qxg7 Nbd7 18. Bh6 O-O-O 19. Qg4 Nxe5 20. Qe2 Rh8 21. Rg7 Ned3+ 22. Bxd3 Nxd3+ 23. Qxd3 Rxh6 24. Rg3 Rdh8 25. O-O-O Rxh3 26. Rg7 Rf3 27. Qe2 Rf6 28. f4 Rg6 29. Rxg6 fxg6 30. Qg4 Qf7 31. Rf1 Kc7 32. b4 Qf6 33. Kc2 Qf5+ 34. Qxf5 gxf5 35. Rf2 Rh3 36. Kd3 Kd6 37. a4 b6 38. Rg2 c5 39. b5 c4+ 40. Kd4 Rh1 41. Rd2 Ra1 42. Rh2 Rxa4 43. Rh8 Ra2 44. Rd8+ Ke7 45. Ra8 Kd6 46. Rd8+ Kc7 47. Rf8 Rd2+ 48. Ke5 Rd3 49. Rf7+ Kd8 50. Kxe6 Rxe3+ 51. Kd6 Ke8 52. Rxf5 Rxc3 53. Re5+ Kf7 54. Kxd5 Rc1 55. Kd4 c3 56. Kd3 c2 57. Kd2 Rf1 58. Kxc2 Rxf4 59. Rd5 Rb4 60. Kc3 Ke6 61. Rh5 Ra4 62. Kb3 Ra5 63. Kb4 Kd6 64. Rh6+ Kd5 65. Rh5+ Ke6 66. Rh6+ Kf7 67. Rh7+ Kg6 68. Rh5 Kxh5 69. Kc4 Ra4+ 70. Kb3 Rh4 71. Kc3 Kg6 72. Kb3 Kf6 73. Kc3 Ke6 74. Kb3 Kd6 75. Kc3 Kc5
saubhagya,player_042,1-0,1. e4 e6 2. d4 d5 3. exd5 exd5 4. Nf3 Nf6 5. Bd3 Be6 6. O-O Bd6 7. c3 Nc6 8. Re1 Qd7 9. Ng5 O-O-O 10. Nxe6 fxe6 11. Bg5 Rhg8 12. Nd2 h6 13. Bh4 g5 14. Bg3 h5 15. Bxd6 Qxd6 16. Qe2 Rde8 17. Nb3 b6 18. c4 Ng4 19. g3 Nf6 20. c5 Qd7 21. cxb6 cxb6 22. Rac1 g4 23. Bb5 Kb7 24. Bxc6+ Qxc6 25. Rxc6 Kxc6 26. Qa6 h4 27. Rc1+ Kd7 28. Qxa7+ Kd6 29. Qxb6+ Ke7 30. Rc7+ Nd7 31. Qc6 Rd8 32. Nc5 Kf6 33. Qxe6+ Kg7 34. Nxd7 Rge8 35. Qf6+ Kg8 36. Qg5+ Kf7 37. Ne5+ Ke6 38. Qg6#
player_042,saubhagya,0-1,1. d4 d5 2. Bf4 Nf6 3. Nf3 c6 4. e3 Bf5 5. Bd3 Bxd3 6. Qxd3 e6 7. Nbd2 Nbd7 8. c3 Qb6 9. Qc2 Nh5 10. Bg3 Nxg3 11. hxg3 h6 12. b4 a5 13. Rb1 axb4 14. cxb4 Bd6 15. O-O O-O 16. Nh2 e5 17. f3 exd4 18. exd4 Qxd4+ 19. Kh1 Bxg3 20. Rbd1 Qh4
richardpasaribu,saubhagya,1-0,1. e4 d6 2. c4 g6 3. Nf3 Bg7 4. d4 Nf6 5. Nc3 O-O 6. Bd3 b6 7. O-O Bb7 8. d5 Nbd7 9. Be3 e6 10. h4 c6 11. Qd2 Re8 12. Bh6 cxd5 13. exd5 exd5 14. Bxg7 Kxg7 15. cxd5 h5 16. Ng5 Ne5 17. Bc2 Rc8 18. Rad1 Qc7 19. f4 Neg4 20. f5 Qc5+ 21. Kh1 Ne3 22. fxg6 Nxf1 23. Rxf1 fxg6 24. Rxf6 Kxf6 25. Qf4+ Ke7 26. Qf7+ Kd8 27. Bxg6 Re1+ 28. Kh2 Qg1+ 29. Kg3 Re3+ 30. Nf3 Qe1+ 31. Kh2 Rxf3 32. Qxf3 Qxh4+ 33. Kg1 Qe1+ 34. Qf1 Qe3+ 35. Qf2 Qxf2+ 36. Kxf2 h4 37. Bf5 Rc4 38. Be6 Ke7 39. Ke3 a6 40. Ne4 b5 41. b3 Rc1 42. Kf3 a5 43. Kg4 Re1 44. Ng5 Kf6 45. Nh3 Ra1 46. Kxh4 Rxa2 47. g4 a4 48. bxa4 Rxa4 49. Kh5 b4 50. g5+ Kg7 51. Bd7 Ra3 52. Nf4 Rf3 53. Ne6+ Kg8 54. g6 Bxd5 55. Ng5 Rf2 56. Kg4 Rg2+ 57. Kf5 Rxg5+ 58. Kxg5 b3 59. Bf5 b2 60. Kf6 Bc4 61. g7 d5 62. Be6+
saubhagya,AlvinALARAS,1-0,1. e4 c5 2. f4 d6 3. Nf3 Nc6 4. Bb5 Nf6 5. d3 Bd7 6. O-O e6 7. Be3 a6 8. Bxc6 Bxc6 9. a4 g6 10. Nc3 Bg7 11. Qd2 O-O 12. h3 b5 13. axb5 axb5 14. Rxa8 Qxa8 15. f5 b4 16. Ne2 e5 17. Bh6 Qa2 18. Bxg7 Kxg7 19. c3 bxc3 20. Qxc3 Rb8 21. fxg6 hxg6 22. Nxe5 dxe5 23. Qxe5 Qxb2 24. Qxc5 Qxe2 25. Qxc6 Qe3+ 26. Kh1 Rb6 27. Qc3 Qg5 28. e5 Nd5 29. Qd4 Rb5 30. e6+ f6 31. Qa7+ Kh6 32. Qa8 Qg3 33. Qh8+ Kg5 34. Qa8 Nf4 35. e7 Rd5 36. Qa2 Re5 37. e8=Q Rxe8 38. d4
invincible_07,saubhagya,0-1,1. e4 c6 2. Nf3 d5 3. d4 dxe4 4. Ng5 Nf6 5. Nc3 h6 6. Ngxe4 Nxe4 7. Nxe4 Bf5 8. Ng3 Nd7 9. Nxf5 Qa5+ 10. Bd2 Qxf5 11. Bd3 Qd5 12. O-O Qxd4 13. Bc3 Qb6 14. Re1 O-O-O 15. Qf3 f6 16. Bf5 Kb8 17. Rad1 Ne5 18. Rxd8+ Qxd8 19. Bxe5+ fxe5 20. Rxe5 e6 21. Rxe6 Bc5 22. Re1 Rf8 23. Qg3+ Ka8 24. Bg6 Bxf2+ 25. Qxf2 Rxf2 26. Re8 Qxe8 27. Bxe8 Rxc2 28. Bf7 Rxb2
saubhagya,invincible_07,1-0,1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. e5 dxe5 5. Bb5+ Bd7 6. dxe5 Bxb5 7. Qxd8+ Kxd8 8. exf6 exf6 9. Nc3 Bc6 10. Be3 Bxf3 11. gxf3 Be7 12. O-O-O+ Kc7 13. Nd5+
saubhagya,boyombo,0-1,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Be7 5. O-O Nf6 6. Nxd4 O-O 7. Nc3 d6 8. Be3 Ne5 9. Be2 Neg4 10. Bg5 h6 11. Bd2 c5 12. Nb3 a6 13. f3 Ne5 14. a4 Bd7 15. h3 Bc6 16. f4 Ng6 17. Bf3 d5 18. exd5 Nxd5 19. f5 Ne5 20. Bxd5 Bxd5 21. Nxd5 Qxd5 22. Bf4 Qxd1 23. Raxd1 Nc6 24. Rd7 c4 25. Nd2 c3 26. bxc3 Bc5+ 27. Kh1 Na5 28. Nb3 Nxb3 29. cxb3 b5 30. axb5 axb5 31. f6 g5 32. Bd6 Bxd6 33. Rxd6 Kh7 34. Rb6 Rab8 35. Rxb8 Rxb8 36. Rf5 Kg6 37. g4 Rb6 38. Kg2 b4 39. c4 Rxf6 40. Rxf6+ Kxf6 41. Kf3 Ke5 42. Ke3 f5 43. gxf5 Kxf5 44. c5 Ke5 45. Kd3 Kd5 46. c6 Kxc6 47. Kc4 h5 48. Kxb4 g4 49. hxg4 h4 50. g5 Kd6 51. g6 Ke7 52. Kc5 h3 53. g7 Kf7 54. b4 h2 55. b5 h1=Q 56. b6 Qb7 57. Kb5 Kxg7 58. Ka5 Kf7 59. Kb5
Anonymous,saubhagya,0-1,1. d3 d6 2. e4 g6 3. Nc3 Bg7 4. Nf3 Nf6 5. Be3 O-O 6. Qe2 Nc6 7. O-O-O e5 8. d4 exd4 9. Bxd4 Nxd4 10. Nxd4 Re8 11. Qb5 a6 12. Qg5 h6 13. Qf4 h5 14. Nd5 Nxd5 15. exd5 Bf6 16. Bc4 Bg5 17. Ne2 Bxf4+ 18. Nxf4 Qg5 19. g3 Bg4 20. Rhe1 Bxd1 21. Rxd1 Re4 22. b4 Rxc4 23. h4 Qf5
