White,Black,Result,Moves
Maniels1,saubhagya,0-1,1. d4 d5 2. Bg5 c6 3. e3 Bf5 4. c3 Qb6 5. Qd2 e6 6. Nh3 Bxh3 7. gxh3 h6 8. Bh4 Nd7 9. Bd3 Ngf6 10. O-O g5 11. Bg3 h5 12. Kh1 h4 13. Be5 Nxe5 14. dxe5 Nd7 15. f4 Bh6 16. Na3 gxf4 17. exf4 O-O-O 18. Rf3 Rhg8 19. Raf1 Nc5 20. Bh7 Rg7 21. Bb1 Ne4 22. Qd4 Qxb2 23. Nc2 Rdg8 24. Qb4 Qxb4 25. cxb4 Nd2 26. Nd4 Nxf3 27. Nxf3 Bxf4 28. Nxh4 Bxe5 29. a4 Bd4 30. b5 Rg1+ 31. Rxg1 Rxg1#
saubhagya,rbeltranm,1-0,1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nc3 Be7 6. Nf3 Nf6 7. Be3 O-O 8. Bd3 a6 9. O-O Nc6 10. Rc1 Bd7 11. a3 Rc8 12. e5 Ne8 13. Bb1 f5 14. exf6 Nxf6 15. Qd3 Be8 16. d5 Ne5 17. Nxe5 dxe5 18. dxe6 Qa5 19. Ne4 Bg6 20. Rxc8 Rxc8 21. Nxf6+ Bxf6 22. Qd7 Qd8 23. Qxb7 Rb8 24. Qd7 Rxb2 25. Bxg6 hxg6 26. Qf7+ Kh7 27. f4 Qd5 28. Bf2 exf4 29. Qd7 Qg5 30. h4 Qg4 31. Re1 f3 32. g3 Bxh4 33. Qd4 Qh3 34. Qxh4+ Qxh4 35. gxh4 Rb3 36. e7 Rxa3 37. e8=Q
rbeltranm,saubhagya,1-0,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Bd2 c6 6. a3 Bxc3 7. bxc3 Nbd7 8. cxd5 exd5 9. Bd3 Nb6 10. Ne2 Bg4 11. f3 Be6 12. O-O O-O 13. e4 dxe4 14. fxe4 Bc4 15. Bg5 Bxd3 16. Qxd3 h6 17. Bxf6 gxf6 18. Qh3 Kh7 19. Qf5+ Kg7 20. Nf4 Qd7 21. Nh5+ Kh8 22. Qxf6+
emperator5694,saubhagya,1/2-1/2,1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. Bd3 Bg4 6. O-O Nf6 7. c3 e6 8. h3 Bh5 9. Be3 Bd6 10. Nbd2 a6 11. Bg5 h6 12. Bh4 O-O 13. Qc2 Bxf3 14. Nxf3 Re8 15. Rfe1 e5 16. dxe5 Nxe5 17. Nxe5 Bxe5 18. Re2 g5 19. Bg3 Bxg3 20. fxg3 Rxe2 21. Qxe2 Qb6+ 22. Kh2 Re8 23. Qf3 Ne4 24. Rf1 Re7 25. Qf5 Qd6 26. Kg1 Qc5+ 27. Kh2 Qd6 28. Kg1 Kg7 29. a3 b5 30. Rf3 Re5 31. Qxf7+ Kh8 32. Qf8+ Qxf8 33. Rxf8+ Kg7 34. Rd8 Nxg3 35. Rd7+ Kf6 36. Rd6+ Re6 37. Rxd5 h5 38. Kf2 h4 39. b3 Ke7 40. a4 Rf6+ 41. Ke3 bxa4 42. bxa4 Re6+ 43. Kd2 Rb6 44. Rxg5 Rb2+ 45. Kc1 Rxg2 46. Bxa6 Ne2+ 47. Bxe2 Rxg5 48. Bg4 Kd6 49. Kb2 Kc5 50. Kb3 Kb6 51. Kb4 Re5 52. c4 Re4 53. Bf5 Re3 54. a5+ Ka6 55. Bc8+ Ka7 56. Kb5 Rb3+ 57. Kc5 Rb8 58. Be6 Ka6 59. Kd6 Kxa5 60. Ke5 Kb4 61. Kf6 Kc5 62. Kg5 Rh8 63. Kg6 Re8
saubhagya,robinzon2223,1/2-1/2,1. d4 f5 2. c4 Nf6 3. Nc3 g6 4. Bg5 Bg7 5. Qd2 h6 6. Bf4 d6 7. h4 Nc6 8. Nf3 Nh5 9. Bh2 O-O 10. e3 Rb8 11. d5 Ne5 12. Nxe5 dxe5 13. Be2 e6 14. Bxh5 gxh5 15. Qe2 Qe8 16. e4 f4 17. O-O-O c6 18. f3 exd5 19. exd5 Bf5 20. g3 cxd5 21. Nxd5 b5 22. gxf4 bxc4 23. fxe5 Qa4 24. Nc3 Qb4 25. Rhg1 Bd3 26. Qd2 Kh7 27. Rg2 Rxf3 28. Rxg7+ Kxg7 29. Rg1+ Kh7 30. Qg2 Qxc3+ 31. bxc3 Rb1+ 32. Kd2 Rb2+ 33. Kc1 Rb1+ 34. Kd2 Rb2+ 35. Kc1 Rb1+
b66lz6bub,saubhagya,0-1,1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bg6 5. h4 h5 6. e6 Qd6 7. exf7+ Bxf7 8. g5 e5 9. Ne2 Nd7 10. Bh3 O-O-O 11. dxe5 Qxe5 12. Bf4 Qxb2 13. Nbc3 Bb4 14. Be5 Re8 15. Rb1 Bxc3+ 16. Bxc3 Qxc3+ 17. Kf1 Qc4 18. Bxd7+ Kxd7 19. Rxb7+ Kc8 20. Rxf7 Ne7 21. Rh3 g6 22. Rc3 Qe4 23. Re3 Qh1+ 24. Ng1 Nf5 25. Rc3 d4 26. Qb1 Nd6 27. Rxa7 dxc3 28. Qb6 Re1+ 29. Kxe1 Qxg1+ 30. Ke2 Re8+ 31. Kd3 Qf1+ 32. Kxc3 Qc4+ 33. Kd2 Re2+ 34. Kd1 Qxc2#
saubhagya,GreySV69,0-1,1. d4 e6 2. c4 Nf6 3. Nc3 Be7 4. Bf4 O-O 5. e3 d5 6. Bd3 dxc4 7. Bxc4 b6 8. Nf3 Bb7 9. O-O Nbd7 10. Re1 c5 11. d5 exd5 12. Nxd5 Nxd5 13. Bxd5 Bxd5 14. Qxd5 Nf6 15. Qf5 h6 16. Rad1 Qc8 17. Qxc8 Rfxc8 18. Ne5 b5 19. Nd7 Nxd7 20. Rxd7 Bf6 21. b3 a6 22. Red1 a5 23. Rb7 b4 24. f3 a4 25. Rdd7 axb3 26. axb3 Ra3 27. Rd3 c4 28. Rd1 Rxb3 29. e4 c3 30. e5 Bg5 31. Bxg5 hxg5 32. e6 c2 33. exf7+ Kf8
Elzaidy,saubhagya,1-0,1. g3 c6 2. Bg2 d5 3. a3 Bf5 4. b4 Nf6 5. Bb2 e6 6. d3 Bd6 7. Nd2 O-O 8. c4 Bg6 9. Ngf3 Nbd7 10. c5 Be7 11. O-O b6 12. d4 Qc7 13. Nh4 e5 14. Nxg6 hxg6 15. cxb6 axb6 16. dxe5 Nxe5 17. Rc1 Rac8 18. Qb3 Rfe8 19. e4 dxe4 20. Nxe4 Nxe4 21. Bxe4 Bf6 22. f4 Ng4 23. Bxc6 Re3 24. Qd1 Bxb2 25. Rc2 Rd8 26. Qxg4 Bd4 27. Kg2 Rde8 28. Rfc1 Rc8 29. Ba4 Qb7+ 30. Kh3 Rxc2 31. Rxc2 b5 32. Rc8+
ricad1,saubhagya,0-1,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 Nc6 5. Bb5 Nf6 6. Nf3 Bg4 7. Bg5 e6 8. Qd3 Bxf3 9. Qxf3 Be7 10. O-O O-O 11. Bxc6 bxc6 12. Ne2 h6 13. Bh4 Ne4 14. Bxe7 Qxe7 15. Qd3 c5 16. c3 cxd4 17. Nxd4 Qb7 18. Rab1 a5 19. Rfd1 Nf6 20. Qb5 Qc7 21. Qc6 Qf4 22. g3 Qe4 23. Re1 Qg6 24. Qb5 Qh5 25. f4 Ng4 26. Re2 Rfe8 27. Rbe1 g5 28. fxg5 hxg5 29. Nc6 Nf6 30. Nxa5 e5 31. Nc6 e4 32. a3 Kg7 33. Nd4 Rh8 34. Nf5+ Kg6 35. Ne7+ Kg7 36. Nf5+ Kg6 37. Rf2 Rae8 38. Qc6 Re6 39. Qb5 Ng4 40. Rg2 Nxh2 41. Qxd5 Nf3+ 42. Kf2 Nxe1 43. g4 Qh4+ 44. Nxh4+ Rxh4 45. Qf5+ Kg7 46. Qxg5+ Kf8 47. Qd8+ Re8 48. Qxh4 Nd3+
saubhagya,gunei1,0-1,1. e4 e6 2. d4 d5 3. exd5 exd5 4. c4 dxc4 5. Bxc4 h6 6. Nc3 Nf6 7. Nf3 Bd6 8. Be3 O-O 9. O-O b6 10. Qc2 Bb7 11. Ne5 Nbd7 12. f4 c5 13. Rad1 Qc7 14. h3 cxd4 15. Rxd4 Bc5 16. Rd3 Nxe5 17. Bxc5 Nxd3 18. Bxd3 Qxc5+
saubhagya,neopoldo,1-0,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. e5 Ng4 6. O-O Be7 7. Re1 O-O 8. h3 Nh6 9. Bxh6 gxh6 10. Nxd4 Nxd4 11. Qxd4 c5 12. Qg4+ Kh8 13. Qh5 d5 14. exd6 Bxd6 15. Qxh6 Qf6 16. Qxf6+
saubhagya,Sergey_Vyshlov,1-0,1. d4 e6 2. c4 Nf6 3. Nc3 d5 4. Bg5 Be7 5. e3 b6 6. Nf3 Ba6 7. cxd5 Bxf1 8. Rxf1 exd5 9. Qb3 O-O 10. O-O-O Nbd7 11. Rfe1 a5 12. a4 Bb4 13. Ne5 c5 14. Nxd7 Qxd7 15. dxc5 Rac8 16. Bxf6 gxf6 17. Rxd5 Qe6 18. Red1 bxc5 19. Qc4 Rcd8 20. h3 Bxc3 21. bxc3 Rxd5 22. Rxd5 Rb8 23. Rxc5 Qd6 24. Qg4+ Kf8 25. Rc8+ Rxc8 26. Qxc8+ Kg7 27. Kc2 Qa3 28. Qg4+ Kf8 29. Qc4 Qe7 30. Qh4 Kg7 31. Qg4+ Kf8 32. e4 Qa3 33. Qc8+ Kg7 34. Qc4 Qd6 35. g3 h6 36. f4 Qb6 37. Qd3 Qc5 38. e5 fxe5 39. fxe5 Qxe5 40. Qd4 Kf6 41. Qxe5+ Kxe5 42. Kd3 Kd5 43. g4 f6 44. h4 Kc5 45. c4 Kc6 46. Kd4 Kd6 47. c5+ Kc7 48. Kd5 Kd7 49. c6+ Kc7 50. Kc5 Kc8 51. Kb6 Kb8 52. c7+ Kc8 53. Kc6 h5 54. gxh5 f5 55. h6 f4 56. h7 f3 57. h8=Q#
nadrif,saubhagya,0-1,1. Nf3 c6 2. Nc3 d5 3. d4 Bf5 4. Bf4 Nf6 5. e3 Nbd7 6. Bd3 Bxd3 7. Qxd3 e6 8. O-O-O Nb6 9. Ne5 Bd6 10. Bg5 h6 11. Bh4 g5 12. Bg3 Qc7 13. f4 gxf4 14. exf4 O-O-O 15. Rhe1 Nh5 16. Qf3 Nxg3 17. Qxg3 Rdg8 18. Qh3 f6 19. Qxe6+ Kb8 20. Nf7 Bxf4+ 21. Kb1 Rh7 22. Qe8+ Rxe8 23. Rxe8+ Nc8 24. Nd8 Re7 25. Re1 Rxe1+ 26. Rxe1 Qxd8 27. g3 Bd2 28. Rf1 Bxc3
Ronny007,saubhagya,0-1,1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb3 Nc6 5. h3 Nf6 6. Nf3 Bf5 7. d3 e6 8. a3 Be7 9. O-O O-O 10. Nc3 a5 11. a4 Re8 12. Ne2 e5 13. Nh4 Bg6 14. Nxg6 hxg6 15. f4 Qb6+ 16. Kh1 exf4 17. Bxf4 Nd4 18. Be3 Bc5 19. Bxd4 Bxd4 20. Nxd4 Qxd4 21. c3 Qb6 22. Qc2 Nh5 23. Rf3 Rad8 24. d4 Qc7 25. Raf1 Ng3+ 26. Rxg3 Qxg3 27. Rf3 Re1+
Konstvik2112,saubhagya,0-1,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. Nf3 Nd7 7. Bc4 e6 8. O-O Ngf6 9. Qe2 Be7 10. Ne5 O-O 11. h4 h5 12. Nxg6 fxg6 13. Qxe6+ Kh7 14. Ne4 Nxe4 15. Qxe4 Bxh4 16. Bd3 Qf6 17. g3 Bg5 18. f4 Bh6 19. f5 g5 20. Qe6 Rad8 21. c3 c5 22. Be3 g4 23. Bxh6 Kxh6 24. Rae1 cxd4 25. Qxf6+ Nxf6 26. cxd4 Rxd4 27. Bb5 Rb4 28. a4 a6 29. Bd3 Rxb2 30. Rf2 Rb3 31. Rd1 Rd8 32. Rfd2 Rd4 33. Kg2 Nd5 34. Be2 Ne3+ 35. Kf2 Nxd1+
saubhagya,server0001,0-1,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Qf6 5. Bg5 Qg6 6. O-O Bc5 7. Qd2 d6 8. c3 h6 9. Bf4 Bg4
thug_assassin,saubhagya,0-1,1. d4 d5 2. Nf3 c6 3. c4 Nf6 4. Nc3 Qb6 5. cxd5 cxd5 6. Qc2 e6 7. Bg5 Be7 8. e3 Bd7 9. Bd3 Nc6 10. Bxf6 Bxf6 11. O-O Nb4 12. Qb1 Nxd3 13. Qxd3 O-O 14. b3 Rfe8 15. Na4 Bxa4 16. bxa4 Qa5 17. Rfb1 b6 18. Qb5 Qc3 19. Rc1 Qa3 20. Rc7 Rac8 21. Rxa7 Rc1+ 22. Rxc1 Qxc1+ 23. Qf1 Qb2 24. Qb5 Qa1+ 25. Qf1 Qxa2 26. h3 Rc8 27. Qb5 Rc1+ 28. Kh2 h6 29. Ra8+ Kh7 30. Qe8 Qxf2 31. Qxf7 Rc2 32. Qg8+ Kg6 33. Qe8+ Kf5 34. Qh5+ g5 35. Qg4+ Kg6 36. Rf8 h5 37. Rxf6+ Kxf6 38. Qxg5+ Kf7 39. Ne5+ Ke8 40. Qg8+ Ke7 41. Qg7+ Ke8 42. Qg6+ Kf8 43. Nd7+ Ke7 44. Ne5 Qf6 45. Qxh5 Qg7 46. Qh4+ Qf6 47. Qh7+ Ke8 48. Qg8+ Ke7 49. Qh7+ Kf8 50. Nd7+ Ke8 51. Nxf6+ Kd8 52. Qg8+ Kc7 53. Qe8 Kb7 54. Qe7+ Ka6 55. Qxe6 Ka5
saubhagya,DrOz,1/2-1/2,1. e4 d6 2. d4 Nf6 3. Bd3 g6 4. c3 Bg7 5. Ne2 O-O 6. O-O e5 7. f4 c5 8. dxe5 dxe5 9. fxe5 Ng4 10. Bc4 Qxd1 11. Rxd1 Nxe5 12. Bb3 Bg4 13. Rd2 Bh6 14. Rc2 Bxc1 15. Nxc1 c4 16. Ba4 a6 17. Rf2 b5 18. Bc2 Nbc6 19. b3 Rad8 20. h3 Bd1 21. bxc4 Bxc2 22. Rxc2 Nxc4 23. Nb3 Rd1+ 24. Kh2 Ne3 25. Re2 Nf1+ 26. Kg1 Ng3+ 27. Kf2 Nxe2 28. Kxe2 Rh1 29. Kf2 Re8 30. N1d2 Rxa1 31. Nxa1 Ne5 32. Nab3 Nd3+ 33. Ke3 Ne1 34. Kf2 Nd3+ 35. Ke3 Nb2 36. Nf3 f5 37. e5 Nc4+ 38. Kd4 Rd8+ 39. Kc5 Kf7 40. Ng5+ Ke7 41. Nxh7 Nxe5 42. Kb6 Rd6+ 43. Ka5 Nc4+ 44. Kb4 Ne3 45. g3 Rd3 46. Nc5 Nd5+ 47. Ka5 Rxc3 48. Nxa6 Ra3+ 49. Kxb5 Rxa2 50. Nc5 Ra3 51. Kc4 Nf6 52. Nxf6 Kxf6 53. Nd3 g5 54. Kd4 Ra4+ 55. Ke3 Ra3 56. Ke2 Ke6 57. Ke3 Kd5 58. Ke2 Kd4 59. Nf2 Ra2+ 60. Kf3 g4+ 61. hxg4 Ra3+ 62. Kf4 Ra2 63. Nh3 fxg4 64. Kxg4 Ke5 65. Nf4 Ra4 66. Kf3 Kf5 67. g4+ Kg5 68. Ne6+ Kh4 69. g5 Ra3+ 70. Ke4 Ra4+ 71. Kf3 Ra6 72. g6 Rxe6 73. g7 Rg6 74. Kf4 Rxg7 75. Kf5
saubhagya,Nappo285,1-0,1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. Nf3 Bg4 5. Be2 Nc6 6. h3 Bh5 7. O-O e6 8. d4 cxd4 9. cxd4 Nf6 10. Nc3 Qd8 11. Be3 Nd5 12. Nxd5 Qxd5 13. b3 Be7 14. Rc1 O-O 15. Nh2 Bxe2 16. Qxe2 Nxd4 17. Qd3 Nf5 18. Qxd5 exd5 19. Rc7 b6 20. g4 Bd6 21. Rd7 Bxh2+ 22. Kxh2 Nxe3 23. fxe3 a5 24. Rxd5 a4 25. Rb5 axb3 26. axb3 Ra2+ 27. Kg3 Re8 28. Rxb6 g6 29. Rf3 Re2 30. Rbf6 Re7 31. b4 R2xe3 32. b5 Rxf3+ 33. Kxf3 Rb7 34. b6 Kf8 35. Ke4 Ke7 36. Rc6 Kd7 37. Kd5 f5 38. gxf5 gxf5 39. Rf6 Ke7 40. Rh6 Kf8 41. Kc6 Rf7 42. b7 Kg7 43. Rd6
airtonhauschild,saubhagya,0-1,1. d4 c6 2. Bf4 d5 3. Nf3 Bf5 4. h3 Nd7 5. c3 Ngf6 6. e3 Ne4 7. Bd3 e6 8. Qc2 h6 9. Nbd2 Nxd2 10. Nxd2 Bxd3 11. Qxd3 Nf6 12. a3 Bd6 13. Bxd6 Qxd6 14. O-O O-O 15. Rae1 a6 16. f4 c5 17. Nf3 cxd4 18. cxd4 Ne4 19. Nd2 Nxd2 20. Qxd2 Rac8 21. Rc1 Rc6 22. Rxc6 Qxc6 23. Rc1 Qb5 24. Qc3 Qe2 25. Rc2 Qd1+ 26. Kh2 Qh5 27. Qc7 Qf5 28. Rc3 b5 29. Qb6 Qb1 30. b3 Qe1 31. Qc5 g5 32. fxg5 hxg5 33. a4 bxa4 34. bxa4 g4 35. hxg4 Kg7 36. Rc1 Rh8#
saubhagya,pushpak_maheshwari,0-1,1. e4 e6 2. d4 d5 3. exd5 exd5 4. c4 Nf6 5. cxd5 Qxd5 6. Nc3 Bb4 7. Qa4+ Nc6 8. Nf3 Ne4 9. Qxb4 Nxb4 10. Nxd5 Nxd5 11. Bd3 Nef6 12. O-O O-O 13. Bg5 Bg4 14. Ne5 Rfe8 15. Bc4 Bh5 16. Bxf6 Nxf6 17. Rac1 c5 18. g4 Nxg4 19. Nxg4 Bxg4 20. dxc5 Bf3 21. Rfe1 Red8 22. Re7 Bh5 23. Rxb7 Rd4 24. b3 Rg4+ 25. Kf1 Re8 26. Re1 Rxe1+ 27. Kxe1 Rg1+ 28. Kd2 Rd1+ 29. Kc3 h6 30. Kc2 Rh1 31. c6 Rxh2 32. c7 Rxf2+ 33. Kc3 Bg4 34. Rb8+ Kh7 35. Bd3+ g6 36. c8=Q Bxc8 37. Rxc8 Rxa2 38. Rc7 Kg7 39. Bc4 Rf2 40. Rxa7 Rf3+ 41. Kd4 h5 42. Ke4 Rf5 43. b4 h4 44. Rxf7+ Rxf7 45. Bxf7 Kxf7 46. b5 h3 47. Kf3 Ke7 48. b6 Kd7 49. Kg4 h2 50. Kg5 h1=Q
pushpak_maheshwari,saubhagya,0-1,1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. Bd3 Bg4 6. O-O Nf6 7. c4 e6 8. Re1 Bxf3 9. Qxf3 Nxd4 10. Qd1 Nc6 11. Nc3 d4 12. Nb5 a6 13. Na3 Bxa3 14. bxa3 O-O 15. Bb2 e5 16. Qf3 Re8 17. Qg3 e4 18. Bc2 Qb6 19. Bc1 e3 20. fxe3 dxe3 21. Rb1 Qc5 22. Bb2 e2+ 23. Kh1 Nd4 24. Qd3 Nxc2 25. Qxc2 Ne4 26. Qxe2 Nf2+ 27. Qxf2 Qxf2 28. Rxe8+ Rxe8 29. Bc3 b5 30. cxb5 axb5 31. a4 bxa4 32. a3 Qc2 33. Rg1 Qxc3 34. h3 Re1 35. Kh2 Qe5+ 36. Kh1 Rxg1+ 37. Kxg1 Qg3 38. h4 Kf8 39. h5 Ke7 40. h6 gxh6 41. Kh1 Kd6 42. Kg1 Ke5 43. Kh1 Kd4 44. Kg1 Ke3 45. Kh1 Qe1+ 46. Kh2 Kf2 47. Kh3 Qh1+ 48. Kg4 Qxg2+ 49. Kh5 Qg5#
Emin2016,saubhagya,1-0,1. Nf3 c6 2. e4 d5 3. Ng5 dxe4 4. Bc4 e6 5. Nxe4 Nf6 6. Nbc3 Nxe4 7. Nxe4 Nd7 8. O-O Nf6 9. Ng3 Be7 10. f4 O-O 11. d4 b5 12. Bd3 Qxd4+ 13. Kh1 Qb6 14. Qf3 Bb7 15. f5 c5 16. Qf4 Bd6 17. Qh4 e5 18. Bh6 Qc6 19. Rg1 Be7 20. Qg5 g6 21. fxg6 fxg6 22. Bxg6 Kh8 23. Bxh7 Rg8 24. Bxg8 Rxg8 25. Qh4 Qe6 26. Bg5+ Nh7 27. Bxe7 Rg7 28. Bxc5 a6 29. Qd8+ Rg8 30. Qd6 Qc8 31. Qxe5+ Nf6 32. Qxf6+ Kh7 33. Be3 Rxg3 34. Qh4+ Kg8 35. Qxg3+
robintin,saubhagya,0-1,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Qxd5 6. Nf3 Bg4 7. Be2 Nf6 8. Be3 e6 9. O-O Bb4 10. Nc3 Qd8 11. Qb3 O-O 12. Rfd1 Qc7 13. Rac1 a6 14. d5 exd5 15. Nxd5 Nxd5 16. Rxd5 Be6 17. Bc4 Bxd5 18. Bxd5 Qd6 19. Bxc6 bxc6 20. Nd4 c5 21. Nf3 Rfe8 22. h3 Rad8 23. a3 Ba5 24. Bxc5 Qd3 25. Qa4 Bc7 26. Qxa6 Qxa6
saubhagya,iwanromaker,1-0,1. e4 e6 2. d4 d5 3. exd5 exd5 4. c4 c6 5. cxd5 cxd5 6. Nc3 Nf6 7. Bb5+ Nc6 8. Nf3 a6 9. Ba4 Bg4 10. O-O Be7 11. Be3 O-O 12. h3 Bh5 13. g4 Bg6 14. Bc2 Bxc2 15. Qxc2 Rc8 16. Rad1 Bd6 17. g5 Nh5 18. Qe2 Qd7 19. Kg2 g6 20. Nxd5 Qe6 21. Nc3 Qe7 22. Rfe1 Rfe8 23. Qd2 Qd7 24. d5 Ne5 25. Nxe5 Rxe5 26. f4 Rxe3 27. Qxe3 Nxf4+ 28. Kh1 Nxh3 29. Rf1 Bc5 30. Qf3 Nxg5 31. Qg3 h6 32. d6 Rd8 33. Nd5 Qc6 34. Qg2 Rxd6 35. Ne7+
saubhagya,denisovserg3,1-0,1. e4 g6 2. d4 Bg7 3. c3 e6 4. Be3 Ne7 5. Qd2 h5 6. Bd3 b6 7. f4 Bb7 8. Nf3 d6 9. Na3 Nd7 10. Nc2 c5 11. O-O Qc7 12. f5 gxf5 13. exf5 Nxf5 14. Bxf5 exf5 15. Bg5 f6 16. Rae1+ Be4 17. Bf4 O-O-O 18. dxc5 Nxc5 19. Ncd4 Bxf3 20. Rxf3 Ne4 21. Qd3 Qc5 22. Be3 Qd5 23. Rxf5 Nc5 24. Qc2 Qe4 25. Rxc5+ dxc5 26. Qxe4 cxd4 27. Qe6+ Rd7 28. cxd4 Rd8 29. Rc1+ Kb7 30. Qc6+ Kb8 31. Bf4+
saubhagya,sitomir1,0-1,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. bxc3 Ba5 7. Qd5 Qe7 8. Bg5 Qe6 9. Qd3 Ne5 10. Nxe5 Qxe5 11. f4 Qc5 12. Nd2 b5 13. Bd5 c6 14. Nb3 Qxc3+ 15. Qxc3 Bxc3+ 16. Ke2 cxd5 17. Rac1 d4 18. Kd3 Bb7 19. Nc5 Bc6 20. f5 f6 21. Bf4 Nh6 22. Na6 Ng4 23. Nc7+ Ke7 24. Nxa8 Rxa8 25. Rhf1 Kf7 26. h3 Ne5+ 27. Bxe5 fxe5 28. g4 b4 29. h4 Bb5+ 30. Kc2 Bxf1 31. Rxf1 h6 32. g5 hxg5 33. hxg5 Rh8 34. f6 gxf6 35. Rxf6+ Ke7 36. Rf5 d6 37. g6 Rh2+ 38. Kb3 Rg2 39. Rf7+ Ke6 40. Rxa7 Rxg6 41. Ra6 Rg4
Rimas1234,saubhagya,0-1,1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 Bg4 5. e3 e6 6. h3 Bh5 7. Qb3 Qb6 8. Qa4 Nbd7 9. cxd5 exd5 10. Ne5 Nxe5 11. dxe5 Nd7 12. f4 Bg6 13. g4 h5 14. f5 Bh7 15. e6 fxe6 16. fxe6 Nc5 17. Qf4 O-O-O 18. Be2 Bd6 19. Qg5 Nxe6 20. Qh4 g5 21. Qf2 Rhf8 22. Qg2 d4 23. Bc4 dxc3 24. Bxe6+ Kb8 25. bxc3 Rde8 26. Bc4 Rxe3+ 27. Bxe3 Qxe3+ 28. Qe2 Bg3+ 29. Kd1 Rd8+ 30. Bd3 Rxd3+ 31. Kc2 Rd2+ 32. Kb3 Qxe2
saubhagya,cfilipes,0-1,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 Nf6 5. Bc4 Bf5 6. d3 c6 7. Bd2 Qc7 8. O-O e6 9. Nh4 Bg6 10. Nxg6 hxg6 11. Re1 Qxh2+ 12. Kf1 Qh1+ 13. Ke2 Qxg2 14. Rg1 Qh3 15. Rg3 Qh5+ 16. f3 Qh2+
Avraj27,saubhagya,0-1,1. e3 c6 2. Qf3 d5 3. Qf4 Nf6 4. Bd3 Nbd7 5. Bf5 e5 6. Qg5 h6 7. Qh4 Nb6 8. Nf3 Bxf5 9. Nxe5 Bd6 10. Nf3 Ne4 11. Qh5 Bg6 12. Qh3 Qd7 13. Ne5 Bxe5 14. b3 Qxh3 15. gxh3 Bxa1 16. Rg1 Be5 17. Ba3 Bxh2 18. Rg2 Be5 19. Nc3 Nxc3 20. dxc3 Bxc3+ 21. Ke2 Bh5+ 22. Kd3 Bf6 23. Bd6 Nd7 24. Rg3 Ne5+ 25. Bxe5 Bxe5 26. f4 Bf6 27. f5 c5 28. c4 O-O-O 29. cxd5 Rxd5+ 30. Ke4 Re5+ 31. Kd3 Rd8+ 32. Kc2 Bd1+ 33. Kc3 Rxe3+ 34. Kc4 Be2+ 35. Kxc5 b6+ 36. Kb4 Be7+ 37. Ka4 b5+ 38. Ka5 Rxg3 39. b4 Ra3#
saubhagya,chaseme6thgear,1-0,1. e4 g6 2. Nf3 Bg7 3. d4 c5 4. c3 cxd4 5. cxd4 d5 6. exd5 Nf6 7. Nc3 Nxd5 8. Bc4 Nf6 9. O-O O-O 10. Re1 Bg4 11. Be3 Nc6 12. h3 Bxf3 13. Qxf3 Nxd4 14. Qxb7 Nc2 15. Rad1 Qb8 16. Qxb8 Raxb8 17. Re2 Nxe3 18. fxe3 Nh5 19. Bb3 e6 20. Red2 Rfc8 21. Ne4 Nf6 22. Nxf6+ Bxf6 23. e4 Kg7 24. g4 Be5 25. Rd7 a5 26. Bxe6 Kf6 27. Bb3 Bxb2 28. Rf1+ Kg5 29. Rdxf7 Rc3 30. Kg2 Rb4 31. Rxh7 Rxe4 32. h4+ Kxg4 33. Bd1+
